歌曲編號,歌曲名稱,歌星 A,歌星 B,路徑 1,路徑 2,歌曲檔名,新增日期,分類,歌曲注音,歌曲拼音,語別,點播次數,版權01,版權02,版權03,版權04,版權05,版權06,狀態,歌名字數,人聲,狀態2,情境,歌星A注音,歌星B注音,歌星A分類,歌星B分類,歌星A簡體,歌星B簡體,歌名簡體
999963,NEED NO MORE,HUR,,\\SVR01\DISK01\,\\SVR02\DISK01\,999963.mpg,2021/12/11,,,,國語,0,揚聲,,,,,,1,12,1,1,浪漫,,,團,,HUR,,NEED NO MORE
999962,做你的太陽,文慧如,,\\SVR01\DISK01\,\\SVR02\DISK01\,999962.mpg,2021/12/11,,ㄗㄋㄉㄊㄧ,ZNDTY,國語,1,揚聲,,,,,,1,5,1,1,浪漫,ㄨㄏㄖ,,女,,文慧如,,做你的太阳
999961,我還是一個人,黃偉晉,,\\SVR01\DISK01\,\\SVR02\DISK01\,999961.mpg,2021/12/11,,ㄨㄏㄕㄧㄍㄖ,WHSYGR,國語,2,揚聲,,,,,,1,6,1,1,浪漫,ㄏㄨㄐ,,男,,黄伟晋,,我还是一个人
999960,打工的人,秋褲大叔,,\\SVR01\DISK01\,\\SVR02\DISK01\,999960.mpg,2021/12/04,,ㄉㄍㄉㄖ,DGDR,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄑㄎㄉㄕ,,男,,秋裤大叔,,打工的人
999959,你是我紅塵中最美的緣,星月組合,,\\SVR01\DISK01\,\\SVR02\DISK01\,999959.mpg,2021/12/04,,ㄋㄕㄨㄏㄔㄓㄗㄇㄉㄩ,NSWHCZZMDY,國語,0,揚聲,,,,,,1,10,1,1,浪漫,ㄒㄩㄗㄏ,,團,,星月组合,,你是我红尘中最美的缘
999958,一億個傷心,蒙面哥,彭清,\\SVR01\DISK01\,\\SVR02\DISK01\,999958.mpg,2021/12/04,,ㄧㄧㄍㄕㄒ,YYGSX,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄇㄇㄍ,ㄆㄑ,男,女,蒙面哥,彭清,一亿个伤心
999957,兄弟夢,姜玉陽,劉強,\\SVR01\DISK01\,\\SVR02\DISK01\,999957.mpg,2021/12/04,,ㄒㄉㄇ,XDM,國語,0,揚聲,,,,,,1,3,1,1,浪漫,ㄐㄩㄧ,ㄌㄑ,男,男,姜玉阳,刘强,兄弟梦
999956,愛上你不悔,浩軒,,\\SVR01\DISK01\,\\SVR02\DISK01\,999956.mpg,2021/12/04,,ㄞㄕㄋㄅㄏ,ASNBH,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄏㄒ,,男,,浩轩,,爱上你不悔
999955,下一站快樂,趙齊,,\\SVR01\DISK01\,\\SVR02\DISK01\,999955.mpg,2021/12/04,,ㄒㄧㄓㄎㄌ,XYZKL,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄓㄑ,,男,,赵齐,,下一站快乐
999954,雨中淚,何龍雨,,\\SVR01\DISK01\,\\SVR02\DISK01\,999954.mpg,2021/12/04,,ㄩㄓㄌ,YZL,國語,0,揚聲,,,,,,1,3,1,1,浪漫,ㄏㄌㄩ,,男,,何龙雨,,雨中泪
999953,唱起情歌想起你,晨熙,,\\SVR01\DISK01\,\\SVR02\DISK01\,999953.mpg,2021/12/04,,ㄔㄑㄑㄍㄒㄑㄋ,CQQGXQN,國語,0,揚聲,,,,,,1,7,1,1,浪漫,ㄔㄒ,,女,,晨熙,,唱起情歌想起你
999952,狗眼看人低,龍奔,,\\SVR01\DISK01\,\\SVR02\DISK01\,999952.mpg,2021/12/04,,ㄍㄧㄎㄖㄉ,GYKRD,國語,0,揚聲,,,,,,1,5,1,1,動感,ㄌㄅ,,男,,龙奔,,狗眼看人低
999951,流淚的情人,張冬玲,,\\SVR01\DISK01\,\\SVR02\DISK01\,999951.mpg,2021/12/04,,ㄌㄌㄉㄑㄖ,LLDQR,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄓㄉㄌ,,女,,张冬玲,,流泪的情人
999950,如果不愛我,張津滌,,\\SVR01\DISK01\,\\SVR02\DISK01\,999950.mpg,2021/12/04,,ㄖㄍㄅㄞㄨ,RGBAW,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄓㄐㄉ,,女,,张津涤,,如果不爱我
999949,新歡舊愛,冷漠,晨熙,\\SVR01\DISK01\,\\SVR02\DISK01\,999949.mpg,2021/12/04,,ㄒㄏㄐㄞ,XHJA,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄌㄇ,ㄔㄒ,男,女,冷漠,晨熙,新欢旧爱
